Tävling;MatchNr;Omg;Hemmalag;Bortalag;Datum / tid;Resultat;Anläggning
Träningsmatcher Herrar 2026;32310070;;Säters IF FK U;Torsångs IF;2026-03-27 18:30;;Säters IP A-plan
DM Herrar Grupp 4;32003005;3;IF Tunabro;Säters IF FK;2026-03-29 16:45;;Borlänge Energi Arena
Träningsmatcher Herrar 2026;32310061;;Säters IF FK A;Hälsinggårdens AIK;2026-04-01 19:00;;Säters IP A-plan
Träningsmatcher Herrar 2026;32310071;;Säters IF FK A;Ludvika FK A;2026-04-10 19:00;;Säters IP A-plan
Träningsmatcher Herrar 2026;32310076;;Säters IF FK U;IFK Hedemora FK;2026-04-12 11:00;;Säters IP A-plan
Träningsmatcher Damer 2026;32311017;;Säters IF FK;Mockfjärds BK;2026-04-12 15:00;;Säters IP A-plan
Träningsmatcher Herrar 2026;32310072;;Säters IF FK A;Korsnäs IF FK U;2026-04-17 19:00;;Säters IP A-plan
Träningsmatcher Herrar 2026;32310065;;Säters IF FK U;Saxdalens IF Herr;2026-04-18 11:00;;Säters IP A-plan
Träningsmatcher Damer 2026;32311020;;Säters IF FK;Torsångs IF;2026-04-19 15:00;;Säters IP A-plan
Träningsmatcher Damer 2026;32311022;;Säters IF FK;Korsnäs IF FK A;2026-04-23 19:00;;Säters IP A-plan
Division 4 Herr Dalarna;30101001;1;Säters IF FK A;Dala-Järna IK;2026-04-24 19:00;;Säters IP A-plan
Division 6 Herr Södra Dalarna;30126002;1;Säters IF FK U;Stora Skedvi IK FF;2026-04-26 11:00;;Säters IP A-plan
Division 3 Dam Dalarna;30201003;1;Säters IF FK;Smedjebackens FK;2026-04-28 19:00;;Säters IP A-plan
Division 4 Herr Dalarna;30101007;2;IF Tunabro A;Säters IF FK A;2026-05-01 19:30;;Sittab Arena
Division 6 Herr Södra Dalarna;30126009;2;Dalsom Förening;Säters IF FK U;2026-05-02 11:00;;Hitachi Energy Arena Konstgräs
Division 3 Dam Dalarna;30201008;2;Kvarnsvedens IK U;Säters IF FK;2026-05-03 14:00;;Ljungbergsplanen
Division 4 Herr Dalarna;30101015;3;Säters IF FK A;Smedjebackens FK;2026-05-08 19:00;;Säters IP A-plan
Division 6 Herr Södra Dalarna;30126012;3;Säters IF FK U;IF Vulcanus;2026-05-10 11:00;;Säters IP A-plan
Division 3 Dam Dalarna;30201011;3;Säters IF FK;Bullermyrens IK;2026-05-12 19:00;;Säters IP A-plan
Division 4 Herr Dalarna;30101019;4;Krylbo IF;Säters IF FK A;2026-05-15 19:00;;Krylbo IP Konstgräs
Division 6 Herr Södra Dalarna;30126017;4;IFK Grängesberg FK;Säters IF FK U;2026-05-16 11:00;;Grängesvallen
Division 3 Dam Dalarna;30201018;4;Vansbro AIK FK;Säters IF FK;2026-05-19 19:00;;Vanåvallen A
Division 4 Herr Dalarna;30101028;5;Säters IF FK A;Nyhammars IF A;2026-05-22 19:00;;Säters IP A-plan
Division 6 Herr Södra Dalarna;30126022;5;Säters IF FK U;Djurmo Sifferbo IF;2026-05-24 11:00;;Säters IP A-plan
Division 3 Dam Dalarna;30201021;5;Säters IF FK;Korsnäs IF FK;2026-05-26 19:00;;Säters IP A-plan
Division 4 Herr Dalarna;30101031;6;Leksands IF Fotboll;Säters IF FK A;2026-05-29 19:00;;Siljansvallen konstgräs 11 mot 11
Division 6 Herr Södra Dalarna;30126028;6;Ludvika FK U;Säters IF FK U;2026-05-30 11:00;;Hitachi Energy Arena Konstgräs
Division 3 Dam Dalarna;30201030;6;Leksands IF;Säters IF FK;2026-06-02 19:00;;Siljansvallen
Division 4 Herr Dalarna;30101039;7;Säters IF FK A;Ludvika FK;2026-06-05 19:00;;Säters IP A-plan
Division 3 Dam Dalarna;30201031;7;Torsångs IF A;Säters IF FK;2026-06-05 19:00;;Torsångs IP A
Division 6 Herr Södra Dalarna;30126031;7;Säters IF FK U;Gustafs GoIF;2026-06-07 11:00;;Säters IP A-plan
Division 3 Dam Dalarna;30201037;8;Säters IF FK;Slätta SK U;2026-06-09 19:00;;Säters IP A-plan
Division 6 Herr Södra Dalarna;30126040;8;Ulfshyttans IF;Säters IF FK U;2026-06-10 19:00;;Ulfshyttans IP
Division 4 Herr Dalarna;30101043;8;Kvarnsvedens IK A;Säters IF FK A;2026-06-11 19:00;;Ljungbergsplanen
Division 3 Dam Dalarna;30201045;9;Malungs IF;Säters IF FK;2026-06-14 16:00;;Skinnarvallen A
Division 4 Herr Dalarna;30101050;9;Säters IF FK A;Slätta SK A;2026-06-17 19:00;;Säters IP A-plan
Division 6 Herr Södra Dalarna;30126042;9;FK Romme Krona;Säters IF FK U;2026-06-18 19:00;;Tunets IP A
Division 6 Herr Södra Dalarna;30126049;10;Stora Skedvi IK FF;Säters IF FK U;2026-06-22 19:00;;Fäggeby IP
Division 3 Dam Dalarna;30201048;10;Smedjebackens FK;Säters IF FK;2026-06-22 19:00;;Herosvallen
Division 4 Herr Dalarna;30101055;10;Korsnäs IF FK U;Säters IF FK A;2026-06-23 19:00;;Lindvallen A
Division 4 Herr Dalarna;30101061;11;Säters IF FK A;Swesom FC;2026-06-30 19:00;;Säters IP A-plan
Division 4 Herr Dalarna;30101067;12;Dala-Järna IK;Säters IF FK A;2026-07-31 19:00;;Dala Järna IP A
Division 6 Herr Södra Dalarna;30126052;11;Säters IF FK U;Dalsom Förening;2026-08-01 11:00;;Säters IP A-plan
Division 4 Herr Dalarna;30101077;13;Säters IF FK A;IF Tunabro A;2026-08-04 19:00;;Säters IP A-plan
Division 3 Dam Dalarna;30201051;11;Säters IF FK;Kvarnsvedens IK U;2026-08-05 19:00;;Säters IP A-plan
Division 4 Herr Dalarna;30101079;14;Smedjebackens FK;Säters IF FK A;2026-08-07 19:00;;Herosvallen
Division 6 Herr Södra Dalarna;30126056;12;IF Vulcanus;Säters IF FK U;2026-08-09 11:00;;Blötbergets IP
Division 3 Dam Dalarna;30201057;12;Bullermyrens IK;Säters IF FK;2026-08-11 18:30;;Skvalet
Division 4 Herr Dalarna;30101088;15;Säters IF FK A;Krylbo IF;2026-08-14 19:00;;Säters IP A-plan
Division 6 Herr Södra Dalarna;30126062;13;Säters IF FK U;IFK Grängesberg FK;2026-08-15 11:00;;Säters IP A-plan
Division 3 Dam Dalarna;30201061;13;Säters IF FK;Vansbro AIK FK;2026-08-18 19:00;;Säters IP A-plan
Division 4 Herr Dalarna;30101091;16;Nyhammars IF A;Säters IF FK A;2026-08-21 18:00;;Åvallen
Division 6 Herr Södra Dalarna;30126067;14;Djurmo Sifferbo IF;Säters IF FK U;2026-08-23 11:00;;Djurmo IP
Division 3 Dam Dalarna;30201068;14;Korsnäs IF FK;Säters IF FK;2026-08-25 19:00;;Lindvallen Konstgräs
Division 4 Herr Dalarna;30101099;17;Säters IF FK A;Leksands IF Fotboll;2026-08-28 19:00;;Säters IP A-plan
Division 6 Herr Södra Dalarna;30126071;15;Säters IF FK U;Ludvika FK U;2026-08-29 11:00;;Säters IP A-plan
Division 3 Dam Dalarna;30201073;15;Säters IF FK;Leksands IF;2026-09-01 19:00;;Säters IP A-plan
Division 4 Herr Dalarna;30101103;18;Ludvika FK;Säters IF FK A;2026-09-04 19:00;;Hitachi Energy Arena A
Division 6 Herr Södra Dalarna;30126077;16;Gustafs GoIF;Säters IF FK U;2026-09-06 11:00;;Sittab Arena
Division 3 Dam Dalarna;30201077;16;Säters IF FK;Torsångs IF A;2026-09-08 19:00;;Säters IP A-plan
Division 4 Herr Dalarna;30101110;19;Säters IF FK A;Kvarnsvedens IK A;2026-09-11 19:00;;Säters IP A-plan
Division 6 Herr Södra Dalarna;30126081;17;Säters IF FK U;Ulfshyttans IF;2026-09-12 11:00;;Säters IP A-plan
Division 3 Dam Dalarna;30201082;17;Slätta SK U;Säters IF FK;2026-09-15 19:00;;Slätta IP
Division 4 Herr Dalarna;30101115;20;Slätta SK A;Säters IF FK A;2026-09-18 19:00;;Slätta IP
Division 6 Herr Södra Dalarna;30126086;18;Säters IF FK U;FK Romme Krona;2026-09-20 11:00;;Säters IP A-plan
Division 3 Dam Dalarna;30201089;18;Säters IF FK;Malungs IF;2026-09-22 19:00;;Säters IP A-plan
Division 4 Herr Dalarna;30101121;21;Säters IF FK A;Korsnäs IF FK U;2026-09-25 19:00;;Säters IP A-plan
Division 4 Herr Dalarna;30101127;22;Swesom FC;Säters IF FK A;2026-10-02 19:00;;Sportfältets konstgräs
